dna_code,Host_species,Total _read_count,group,ind_id,full_dataset,reduced_ dataset,Host_species,sex,fa,bm,injection,date,area,Location,Lat,Long,Colony,ring_no,sample_no,comments
BNCP2,NA,7175,G5,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
BS117,NA,90266,G122,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
BS028,Noctilio leporinus,49458,G33,131,no,no,Noctilio leporinus,M,85.4,73.5,NA,16.12.2018,Palo Verde,Ojo del agua,-85.332506,"10,351864°",NA,NA,NA,NA
BS087,Phyllostomus discolor,29999,G92,11,no,no,Phyllostomus discolor,M,66.8,48.5,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS061,Platyrrhinus helleri,4132,G66,17,no,no,Platyrrhinus helleri,M,40,15.8,NA,05.12.2018,La Gamba,Brücke,-83.192923, 8.699693,NA,NA,NA,NA
BS085,Platyrrhinus helleri,10209,G90,10,no,no,Platyrrhinus helleri,M,44.8,17.9,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS115,Platyrrhinus helleri,215024,G120,27,no,no,Platyrrhinus helleri,M,43.8,18.2,NA,06.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS112,Platyrrhinus helleri,226457,G117,20,no,no,Platyrrhinus helleri,unknown,43.5,20.8,NA,05.12.2018,La Gamba,Brücke,-83.192923, 8.699693,NA,NA,NA,Sex is not clear
BS064,Pteronotus parnellii,39733,G69,43,no,no,Pteronotus parnellii,M,64,25,NA,08.12.2018,La Gamba,Caverna Piedras Blancas,-83.184559,8.726740271,NA,NA,NA,NA
BS096,Pteronotus parnellii,164389,G101,123,no,no,Pteronotus parnellii,M,59,28,NA,15.12.2018,Palo Verde,Ojo del agua,-85.332506,"10,351864°",NA,NA,NA,NA
BS130,Pteronotus parnellii,107087,G135,122,no,no,Pteronotus parnellii,M,59.7,24.5,NA,15.12.2018,Palo Verde,Ojo del agua,-85.332506,"10,351864°",NA,NA,NA,NA
BS088,Rhogeessa thumida,76299,G93,124,no,no,Rhogeessa thumida,M,27.5,3.5,NA,15.12.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,NA,NA,NA,NA
BS139,Rhogeessa thumida,25411,G144,143,no,no,Rhogeessa thumida,F,26.6,4,NA,16.12.2018,Palo Verde,Ojo del agua,-85.332506,"10,351864°",NA,NA,NA,NA
BS059,Rhynchonycteris naso,152946,G64,16,no,no,Rhynchonycteris naso,F,37,3.7,NA,05.12.2018,La Gamba,Brücke,-83.192923, 8.699693,NA,NA,NA,NA
BS078,Saccopteryx bilineata,183341,G83,CG2,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"After odour sampling, repeat of BS012, not on the list"
BS127,Saccopteryx bilineata,78009,G132,CG1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"After Odour sampling, repeat of BS019, not on the list"
BS004,Saccopteryx bilineata,518,G9,202,no,no,Saccopteryx bilineata,M,45.4,8.1,NA,28.11.2018,Palo Verde,Adminbaum,-85.34949681,10.34886204,C6,hellgrün-dunkelgrün,1,"After odour sampling, repeat pf BS076"
BS012,Saccopteryx bilineata,50256,G17,CG2,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afterodour sampling, repeat of BS078, not on the list"
BS019,Saccopteryx bilineata,197022,G24,CG1,no,no,Saccopteryx bilineata,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Before odour sampling, Repeat of BS127, not on the list"
BS014,Saccopteryx bilineata,312,G19,225,no,no,Saccopteryx bilineata,M,45.4,7.9,PBS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rot-rosa,7,Repeat of B094
BS026,Saccopteryx bilineata,18178,G31,147,no,no,Saccopteryx bilineata,M,44,8.4,NA,17.12.2018,La Gamba,Lab-Clearing,-83.2016691,8.700907853,NA,NA,NA,Repeat of BS029 (After odour sampling)
